Ticket ID,HS Customer,Subject,Source,Type,Weight,Created time,Initial response time,Resolved time,First response time (in hrs),Resolution time (in hrs),Agent interactions,Customer interactions
35,18,Lease name shows up as two different names,Portal,Problem / Issue,3,11/1/2018 16:48,11/2/2018 10:34,11/2/2018 10:39,2:45:09,2:50:17,1,1
36,19,Report Filters,Portal,Feature Request,2,11/5/2018 11:22,11/5/2018 12:11,11/6/2018 7:35,0:48:16,5:12:29,2,1
44,20,area selectiom,Portal,General Question,1,11/15/2018 6:05,11/15/2018 7:51,11/16/2018 12:21,0:51:08,14:21:07,1,1
54,20,report fields ,Portal,Feature Request,1,11/18/2018 7:32,11/18/2018 7:42,11/20/2018 7:03,0:00:00,9:03:26,1,1
55,23,Driver Run Report is Duplicating Drivers,Portal,Problem / Issue,2,11/27/2018 10:58,11/27/2018 12:57,11/27/2018 12:57,1:59:15,1:59:18,1,1
65,18,How do I delete & replace a supplemental ticket once it has reached the Master ticket status ,Portal,Problem / Issue,2,12/6/2018 10:21,12/6/2018 10:47,12/6/2018 14:24,0:26:16,4:03:19,1,1
71,18,Attaching a scan after the fact,Portal,General Question,2,12/7/2018 14:09,12/8/2018 15:26,12/7/2018 15:47,0:00:00,1:38:19,0,1
73,18,Date Range Report,Portal,Software Problem / Issue,1,12/12/2018 9:31,12/12/2018 10:41,12/12/2018 11:04,1:09:50,1:33:08,1,1
75,18,PO/AFE Number Not on MT,Portal,Software Problem / Issue,1,12/14/2018 8:17,12/14/2018 8:22,12/20/2018 13:43,0:04:55,41:25:58,1,1
76,18,UNABLE TO PRINT BACK-UPS MT 211685,Portal,Software Problem / Issue,3,12/17/2018 13:17,12/17/2018 13:23,12/17/2018 13:46,0:05:12,0:28:53,2,1
82,15,hauling software,Portal,Software Problem / Issue,2,12/20/2018 10:22,12/21/2018 11:14,12/20/2018 11:14,0:00:00,0:52:04,0,1
84,18,"FW: [External] Re: Additional field in Hauling Software, Roustabout Software and DSS",Email,Feature Request,5,12/12/2018 14:46,12/12/2018 16:42,12/13/2018 21:43,0:00:00,0:28:42,0,1
85,18,field tickets have the wrong driver name attached to them in hauling and those field tickets are on a master ticket. how can i change the driver name?,Portal,General Question,4,12/27/2018 7:09,12/27/2018 7:30,12/27/2018 8:06,0:21:32,0:56:59,2,1
87,18,Re: FW: [External] Re: DSS Master Tickets,Email,Software Problem / Issue,3,12/14/2018 12:13,12/14/2018 15:27,12/28/2018 15:22,0:00:00,0:01:50,0,1
89,15,no charge report,Portal,General Question,2,1/8/2019 8:54,1/8/2019 9:10,1/9/2019 9:05,0:16:30,9:10:42,1,1
92,15,ticket entry,Portal,Data Entry Support,2,1/9/2019 11:35,1/9/2019 11:59,1/9/2019 13:53,0:24:16,2:17:53,2,2
97,20,automatically duplicating leases that are auto haul ,Portal,Data Entry Support,2,1/12/2019 4:49,1/12/2019 7:31,1/12/2019 7:31,0:00:00,0:00:00,1,1
101,18,Re: New S&S Disposal,Email,General Question,3,1/15/2019 11:37,1/14/2019 14:21,1/15/2019 14:21,0:00:00,2:43:35,0,2
102,5,LATX Operations Electronic Tickets Possibility ,Email,General Question,2,1/15/2019 15:45,1/15/2019 15:58,1/18/2019 8:12,0:12:42,10:27:00,1,1
103,15,Reports,Portal,General Question,1,1/16/2019 10:53,1/16/2019 11:01,1/16/2019 14:28,0:00:00,0:00:00,3,4
104,4,Estimate Lookup - save invoice without tickets,Phone,Software Problem / Issue,2,1/16/2019 13:41,,1/16/2019 15:11,0:00:00,0:00:00,0,1
105,18,Hauling Software,Email,Feature Request,4,1/16/2019 14:02,1/16/2019 14:27,1/17/2019 6:53,0:00:00,0:00:00,2,1
106,21,HS J&R,Email,Software Problem / Issue,3,1/16/2019 15:31,1/16/2019 15:51,1/16/2019 15:52,0:00:00,0:00:00,1,1
107,4,Re: Hauling Software,Email,Software Problem / Issue,3,1/16/2019 15:40,1/16/2019 15:47,1/18/2019 14:11,0:00:00,16:11:50,4,1
111,20,Re: Miscalculations,Email,Software Problem / Issue,3,1/19/2019 10:24,,1/23/2019 13:40,0:00:00,24:40:21,0,6
112,18,Hauling Software: Date Range Report,Email,Software Problem / Issue,3,1/21/2019 12:32,1/21/2019 12:38,1/21/2019 15:40,0:06:38,3:08:25,2,1
114,18,Bulk MT Print ,Portal,Software Problem / Issue,2,1/21/2019 16:19,1/21/2019 16:27,1/21/2019 16:51,0:00:00,0:00:00,1,1
115,28,Invoice Not pulling to Quickbooks,Phone,Software Problem / Issue,2,1/21/2019 16:19,1/21/2019 16:22,1/22/2019 7:07,0:00:00,0:07:07,1,1
116,25,Job Number Field,Portal,Data Entry Support,2,1/22/2019 8:15,1/22/2019 8:23,2/4/2019 13:53,0:07:48,86:38:01,2,1
118,18,Cannot Add or Edit Leases,Portal,Software Problem / Issue,2,1/23/2019 7:59,1/23/2019 8:12,1/23/2019 12:12,0:13:31,4:12:54,1,1
