id,hs_customer,name,standard_price,bill_type,status
15,4,Deliver Frac Tank,110,2,inactive
17,5,Winch Truck - Pick Up,0,2,active
18,5,TAG Truck,80,2,active
19,5,Pull Pit,0,1,active
20,5,Wash Out - Frac Tank,0,2,active
22,5,Empty Vacuum Truck,0,2,active
23,5,Vac Truck (Hourly Service),0,2,active
24,5,Fresh Water,0,0,active
25,5,Fresh Water,0,2,inactive
26,5,Flow Back,0,1,active
75,10,Voided Ticket,0,0,active
76,10,Transfer,0,0,inactive
77,10,Transfer,0,0,active
86,10,Steamer,100,0,active
87,10,Pull Bottoms,100,0,active
159,5,Roll Off Box,0,2,active
160,10,Training,0,2,active
164,10,Transport - Other,90,2,active
165,10,Freshwater Haul,90,2,active
169,5,End Dump,0,2,active
170,5,Roust-A-Bout,0,2,active
174,10,Service Truck,100,2,active
175,15,Water Hauling,0,2,inactive
176,15,Freshwater,0.6,2,active
177,15,Special Projects,150,1,inactive
178,15,Special Projects,150,1,inactive
179,15,Washout fee,150,1,inactive
181,15,Plug Job,105,2,active
182,5,Heavy Haul Job,0,2,active
187,15,Service Work,105,2,active
188,15,Flowback,1.3,1,inactive
189,15,Frac Tank,200,1,inactive
190,15,Frac Tank Rental,25,1,active
194,5,Winch Truck - Service,0,2,active
195,5,Pull BTM,0,2,inactive
196,5,No Load,0,2,active
197,5,FireWall,0,2,inactive
198,5,LATX Equipment Issue,0,0,active
199,5,Multiple Load Ticket,0,1,active
200,5,Winch Truck - SET,0,2,active
201,5,Winch Truck - Set,0,2,active
202,5,Pull Btm / Xfer,0,2,inactive
221,16,Haul Freshwater,115,2,active
227,16,Pulled Bottoms,115,2,active
228,16,Washout,150,1,active
229,16,Containment Pulled,115,2,active
230,16,Hauled Oil,115,2,active
231,16,Jet Flowback Tank,115,2,active
232,16,Frac Tank Rental,40,1,active
233,16,Hauled 2% KCL to location,115,2,active
234,16,Hauled Flowback to Disposal,115,2,active
235,16,Hydrovac Hourly,350,2,active
237,16,Hauled ABO,115,2,active
238,16,Transport Hourly,115,2,active
239,16,PLATE TANKS,115,2,active
240,16,EMPTIED TANK FOR VALVE REPLACEMENT,115,2,active
241,16,Plate tanks,115,2,active
